adresse,da,name,objectid,plz,poi_id,gsz_id,geometry,geometry
Hardhof                                                               ,Grün Stadt Zürich,Hardhof                                                               ,10675,8064,sp095,95,POINT Z (2679983.2 1250043.1 0),POINT Z (2679983.2 1250043.1 0)
Hardeggweg/-strasse                                                   ,Grün Stadt Zürich,Hardeggstrasse                                                        ,10676,8049,sp094,94,POINT Z (2680316 1250079.8 0),POINT Z (2680316 1250079.8 0)
Bauherrenstrasse                                                      ,Grün Stadt Zürich,Sonnegg/Bauherrenstrasse                                              ,10677,8049,sp092,92,POINT Z (2679947.5 1250620.8 0),POINT Z (2679947.5 1250620.8 0)
Hohenklingen-Allee                                                    ,Grün Stadt Zürich,Hohenklingen Allee                                                    ,10678,8049,sp091,91,POINT Z (2679310.5 1250693.9 0),POINT Z (2679310.5 1250693.9 0)
Bachstrasse                                                           ,Grün Stadt Zürich,GZ Wollishofen                                                        ,10682,8038,sp083,83,POINT Z (2682950.2 1244381.6 0),POINT Z (2682950.2 1244381.6 0)
Muggenbühlstrasse 15                                                  ,Grün Stadt Zürich,Muggenbühl                                                            ,10683,8038,sp082,82,POINT Z (2682195.5 1244967.2 0),POINT Z (2682195.5 1244967.2 0)
Schweighofstr./Staudenweg/ Bachtobelstr.                              ,Grün Stadt Zürich,Murmeliwiese                                                          ,10684,8045,sp080,80,POINT Z (2680823 1245738.8 0),POINT Z (2680823 1245738.8 0)
Im Hagenbrünneli                                                      ,Grün Stadt Zürich,Hagenbrünneli                                                         ,10685,8046,sp010,10,POINT Z (2680999.5 1251943.5 0),POINT Z (2680999.5 1251943.5 0)
Edelweissstrasse                                                      ,Grün Stadt Zürich,Letzigraben (Freibad)                                                 ,10690,8047,sp187,187,POINT Z (2680083 1248153.9 0),POINT Z (2680083 1248153.9 0)
Wasserschöpfi                                                         ,Grün Stadt Zürich,Heuried (Freibad)                                                     ,10691,8055,sp186,186,POINT Z (2680629 1246782.9 0),POINT Z (2680629 1246782.9 0)
Luegislandstrasse                                                     ,Grün Stadt Zürich,Auhof (Freibad)                                                       ,10692,8051,sp185,185,POINT Z (2685414 1251381.9 0),POINT Z (2685414 1251381.9 0)
Wallisellenstrasse                                                    ,Grün Stadt Zürich,Hallenbad Oerlikon                                                    ,10693,8050,sp184,184,POINT Z (2684351 1251535.9 0),POINT Z (2684351 1251535.9 0)
Ringstrasse                                                           ,Grün Stadt Zürich,Allenmoos (Freibad)                                                   ,10695,8057,sp182,182,POINT Z (2683062 1251033 0),POINT Z (2683062 1251033 0)
Seestrasse 119                                                        ,Grün Stadt Zürich,Belvoirpark                                                           ,10717,8002,sp079,79,POINT Z (2682664.8 1245835.1 0),POINT Z (2682664.8 1245835.1 0)
Wolfbachtobelweg                                                      ,Grün Stadt Zürich,Wolfbachtobel                                                         ,10718,8032,sp048,48,POINT Z (2684842 1247391.9 0),POINT Z (2684842 1247391.9 0)
Untere Zäune                                                          ,Grün Stadt Zürich,Untere Zäune                                                          ,10719,8001,sp047,47,POINT Z (2683603 1247383.9 0),POINT Z (2683603 1247383.9 0)
Kantstrasse                                                           ,Grün Stadt Zürich,Kirche Fluntern                                                       ,10720,8044,sp046,46,POINT Z (2684406.2 1247912 0),POINT Z (2684406.2 1247912 0)
Stöckenhaldenweg                                                      ,Grün Stadt Zürich,Buchholz                                                              ,10725,8053,sp053,53,POINT Z (2686554 1246249.4 0),POINT Z (2686554 1246249.4 0)
Minervastrasse                                                        ,Grün Stadt Zürich,Artergut                                                              ,10726,8032,sp052,52,POINT Z (2684324.5 1246743.6 0),POINT Z (2684324.5 1246743.6 0)
Hohe Promenade                                                        ,Grün Stadt Zürich,Hohe Promenade                                                        ,10727,8001,sp051,51,POINT Z (2683852.5 1246918.1 0),POINT Z (2683852.5 1246918.1 0)
Glattalstrasse                                                        ,Grün Stadt Zürich,Seebach (Freibad)                                                     ,10728,8052,sp181,181,POINT Z (2683684 1253218 0),POINT Z (2683684 1253218 0)
Eigenheimstrasse / Heimatstrasse 6,Grün Stadt Zürich,Eigenheimstrasse / Heimatstrasse,10731,,sp9576,167,POINT Z (2684271 1245396 0),POINT Z (2684271 1245396 0)
Holunderweg                                                           ,Grün Stadt Zürich,Birchwald                                                             ,10732,8050,sp123,123,POINT Z (2682779 1251481 0),POINT Z (2682779 1251481 0)
Einfang-/Wehntalerstrasse 447                                         ,Grün Stadt Zürich,Im Einfang                                                            ,10733,8046,sp122,122,POINT Z (2681074 1252264 0),POINT Z (2681074 1252264 0)
"Katzenseestrasse, am Südufer des Katzensees                           ",Grün Stadt Zürich,Katzensee (Seebad)                                                    ,10734,8046,sp121,121,POINT Z (2679601 1253914.5 0),POINT Z (2679601 1253914.5 0)
